French Ligue 1,Marseille,Nantes,0.4792,0.2152
Italy Serie A,Crotone,Atalanta,0.3596,0.3441
Spanish Primera Division,Alavés,Granada,0.4854,0.2376
Italy Serie A,Cagliari,Sampdoria,0.468,0.2516
Barclays Premier League,Burnley,Watford,0.3845,0.3389
UEFA Champions League,Sevilla FC,Lyon,0.5404,0.2141
UEFA Champions League,CSKA Moscow,Tottenham Hotspur,0.2658,0.4556
UEFA Champions League,Dinamo Zagreb,Juventus,0.1474,0.6089
UEFA Champions League,FC Copenhagen,Club Brugge,0.5507,0.1744
UEFA Champions League,AS Monaco,Bayer Leverkusen,0.3867,0.3441
UEFA Champions League,Borussia Dortmund,Real Madrid,0.4565,0.3137
UEFA Champions League,Sporting CP,Legia Warsaw,0.7166,0.083
UEFA Champions League,Leicester City,FC Porto,0.5039,0.2319
UEFA Champions League,Rostov,PSV,0.3092,0.4264
UEFA Champions League,Napoli,Benfica,0.6299,0.1445
UEFA Champions League,Ludogorets,Paris Saint-Germain,0.2566,0.4619
UEFA Champions League,Arsenal,Basel,0.8317,0.0461
UEFA Champions League,Celtic,Manchester City,0.1528,0.6718
UEFA Champions League,Besiktas,Dynamo Kiev,0.2439,0.4992
UEFA Champions League,Atletico Madrid,Bayern Munich,0.3653,0.344
UEFA Champions League,Borussia Monchengladbach,Barcelona,0.1208,0.7171
German Bundesliga,RB Leipzig,FC Augsburg,0.5152,0.2097
French Ligue 1,Stade Rennes,Guingamp,0.4209,0.276
Spanish Primera Division,Real Sociedad,Real Betis,0.4846,0.2514
Barclays Premier League,Everton,Crystal Palace,0.5911,0.1656
Spanish Primera Division,Granada,Leganes,0.3924,0.3243
Barclays Premier League,Swansea City,Liverpool,0.1616,0.634
German Bundesliga,FC Ingolstadt 04,TSG Hoffenheim,0.4099,0.3242
German Bundesliga,SC Freiburg,Eintracht Frankfurt,0.4697,0.2736
German Bundesliga,SV Darmstadt 98,Werder Bremen,0.3994,0.3364
German Bundesliga,Hertha Berlin,Hamburg SV,0.5848,0.1619
German Bundesliga,Bayern Munich,FC Cologne,0.8767,0.0233
Barclays Premier League,Watford,AFC Bournemouth,0.4891,0.2536
Barclays Premier League,Sunderland,West Bromwich Albion,0.4174,0.3028
Barclays Premier League,West Ham United,Middlesbrough,0.5018,0.2363
Barclays Premier League,Hull City,Chelsea,0.1539,0.6221
Spanish Primera Division,Sevilla FC,Alavés,0.6252,0.1472
French Ligue 1,Paris Saint-Germain,Bordeaux,0.7923,0.067
Italy Serie A,US Pescara,Chievo Verona,0.4132,0.283
German Bundesliga,Bayer Leverkusen,Borussia Dortmund,0.2954,0.4608
Spanish Primera Division,Osasuna,Las Palmas,0.4152,0.3156
French Ligue 1,Dijon FCO,Montpellier,0.4511,0.2548
French Ligue 1,Lille,AS Nancy Lorraine,0.4996,0.2072
French Ligue 1,Metz,AS Monaco,0.3078,0.4028
French Ligue 1,Caen,Toulouse,0.3619,0.3342
French Ligue 1,Nantes,Bastia,0.4457,0.2261
Italy Serie A,Udinese,Lazio,0.2896,0.4323
Spanish Primera Division,Deportivo La Coruña,Sporting Gijón,0.446,0.2642
Spanish Primera Division,Valencia,Atletico Madrid,0.2185,0.5228
Italy Serie A,Empoli,Juventus,0.1437,0.5953
Barclays Premier League,Manchester United,Stoke City,0.73,0.0876
Italy Serie A,Sampdoria,Palermo,0.4413,0.2566
Italy Serie A,Bologna,Genoa,0.3941,0.3016
Italy Serie A,Cagliari,Crotone,0.573,0.1695
Italy Serie A,Atalanta,Napoli,0.2097,0.5427
French Ligue 1,Angers,Marseille,0.4162,0.2782
Barclays Premier League,Leicester City,Southampton,0.4395,0.2821
Barclays Premier League,Tottenham Hotspur,Manchester City,0.2359,0.5285
German Bundesliga,VfL Wolfsburg,Mainz,0.5512,0.2116
Spanish Primera Division,Real Madrid,Eibar,0.8899,0.0259
French Ligue 1,Nice,Lorient,0.5293,0.1922
German Bundesliga,Schalke 04,Borussia Monchengladbach,0.3749,0.3571
Barclays Premier League,Burnley,Arsenal,0.1284,0.6628
Italy Serie A,AC Milan,Sassuolo,0.5535,0.1792
Italy Serie A,Torino,Fiorentina,0.4197,0.2942
Spanish Primera Division,Málaga,Athletic Bilbao,0.3881,0.319
Spanish Primera Division,Espanyol,Villarreal,0.352,0.3628
Spanish Primera Division,Celta Vigo,Barcelona,0.0909,0.7725
Italy Serie A,AS Roma,Internazionale,0.4968,0.2525
French Ligue 1,Lyon,St Etienne,0.5139,0.2152
French Ligue 1,Toulouse,AS Monaco,0.3118,0.3998
German Bundesliga,Borussia Dortmund,Hertha Berlin,0.7901,0.0584
French Ligue 1,Nice,Lyon,0.3504,0.3657
Spanish Primera Division,Las Palmas,Espanyol,0.4734,0.2653
Spanish Primera Division,Leganes,Sevilla FC,0.3428,0.3828
Barclays Premier League,Chelsea,Leicester City,0.6441,0.1367
Italy Serie A,Napoli,AS Roma,0.4892,0.2575
German Bundesliga,FC Augsburg,Schalke 04,0.3822,0.338
German Bundesliga,TSG Hoffenheim,SC Freiburg,0.4397,0.312
German Bundesliga,Borussia Monchengladbach,Hamburg SV,0.6211,0.1515
German Bundesliga,Eintracht Frankfurt,Bayern Munich,0.1491,0.646
German Bundesliga,FC Cologne,FC Ingolstadt 04,0.5658,0.1708
Barclays Premier League,Stoke City,Sunderland,0.4744,0.2525
Barclays Premier League,Arsenal,Swansea City,0.7816,0.0671
Barclays Premier League,Manchester City,Everton,0.7338,0.0949
Barclays Premier League,West Bromwich Albion,Tottenham Hotspur,0.2427,0.4903
Barclays Premier League,AFC Bournemouth,Hull City,0.5258,0.2039
Spanish Primera Division,Barcelona,Deportivo La Coruña,0.9558,0.0078
French Ligue 1,AS Nancy Lorraine,Paris Saint-Germain,0.0639,0.7912
Italy Serie A,US Pescara,Sampdoria,0.4329,0.2836
Spanish Primera Division,Atletico Madrid,Granada,0.8439,0.0307
Barclays Premier League,Crystal Palace,West Ham United,0.4559,0.2806
German Bundesliga,Werder Bremen,Bayer Leverkusen,0.2449,0.522
French Ligue 1,Montpellier,Caen,0.473,0.2385
French Ligue 1,Bastia,Angers,0.4189,0.2524
French Ligue 1,Lorient,Nantes,0.4046,0.2762
French Ligue 1,Guingamp,Lille,0.4073,0.2874
Spanish Primera Division,Real Betis,Real Madrid,0.1585,0.6609
Italy Serie A,Juventus,Udinese,0.8759,0.022
Spanish Primera Division,Alavés,Málaga,0.395,0.3144
Italy Serie A,Fiorentina,Atalanta,0.5883,0.1593
Barclays Premier League,Middlesbrough,Watford,0.3999,0.3233
Italy Serie A,Lazio,Bologna,0.6339,0.1216
French Ligue 1,Stade Rennes,Bordeaux,0.3851,0.3093
Italy Serie A,Genoa,Empoli,0.5185,0.1937
Italy Serie A,Sassuolo,Crotone,0.6207,0.1384
Italy Serie A,Internazionale,Cagliari,0.6778,0.1141
German Bundesliga,Mainz,SV Darmstadt 98,0.618,0.1512
Spanish Primera Division,Athletic Bilbao,Real Sociedad,0.4981,0.2259
French Ligue 1,St Etienne,Dijon FCO,0.5411,0.1861
Barclays Premier League,Southampton,Burnley,0.5977,0.1424
German Bundesliga,VfL Wolfsburg,RB Leipzig,0.5026,0.2328
Spanish Primera Division,Sporting Gijón,Valencia,0.3828,0.3483
Italy Serie A,Chievo Verona,AC Milan,0.3604,0.3239
Spanish Primera Division,Villarreal,Celta Vigo,0.5149,0.2121
French Ligue 1,Marseille,Metz,0.5297,0.1968
Spanish Primera Division,Eibar,Osasuna,0.5033,0.2193
Italy Serie A,Palermo,Torino,0.3199,0.3831
Barclays Premier League,Liverpool,Manchester United,0.4737,0.2815
UEFA Champions League,Real Madrid,Legia Warsaw,0.9117,0.0212
UEFA Champions League,Lyon,Juventus,0.2176,0.5206
UEFA Champions League,Sporting CP,Borussia Dortmund,0.3053,0.4249
UEFA Champions League,Bayer Leverkusen,Tottenham Hotspur,0.4556,0.273
UEFA Champions League,Club Brugge,FC Porto,0.1909,0.5586
UEFA Champions League,Dinamo Zagreb,Sevilla FC,0.2649,0.4709
UEFA Champions League,CSKA Moscow,AS Monaco,0.3366,0.3763
UEFA Champions League,Leicester City,FC Copenhagen,0.666,0.1034
UEFA Champions League,Rostov,Atletico Madrid,0.0942,0.7175
UEFA Champions League,Napoli,Besiktas,0.7762,0.0681
UEFA Champions League,Arsenal,Ludogorets,0.748,0.0694
UEFA Champions League,Paris Saint-Germain,Basel,0.8132,0.0528
